match_type,glob_feat0,len_bin,topology,mix_mode,row_i,row_j,overlap,chem_profile_id_i,chem_profile_id_j,chain_len_i,chain_len_j
chemistry_control,300.0,"(55.0, 59.0]",branch,random,631,916,0.49152541160583496,1.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,661,782,0.18644070625305176,1.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,661,898,0.49152541160583496,1.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,661,916,0.5593220591545105,1.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,777,782,0.2542372941970825,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,777,898,0.5593220591545105,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,777,916,0.49152541160583496,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,782,898,0.06779664754867554,1.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,782,916,0.0,1.0,0.0,59,59
chemistry_control,300.0,"(59.0, 72.0]",branch,random,49,703,0.3166666626930237,2.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,49,886,0.23333334922790527,2.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,49,950,0.5166666507720947,2.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,340,703,0.18333333730697632,0.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,340,886,0.18333327770233154,0.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,340,950,0.46666663885116577,0.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,703,839,0.2333332896232605,0.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,703,950,0.0,0.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,703,980,0.3166666626930237,0.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,703,1007,0.18333333730697632,0.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,703,1027,0.4833333492279053,0.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,839,886,0.3166666626930237,2.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,839,1007,0.5166666507720947,2.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,886,950,0.18333327770233154,2.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,886,980,0.18333333730697632,2.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,886,1007,0.05000007152557373,2.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,886,1027,0.3500000238418579,2.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,950,1007,0.46666663885116577,1.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,random,950,1027,0.46666663885116577,1.0,0.0,60,60
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,27,0.24561405181884766,1.0,1.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,95,0.0,1.0,1.0,57,59
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,134,0.43859654664993286,1.0,1.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,163,0.43859654664993286,1.0,0.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,189,0.2982456684112549,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,350,0.3333333730697632,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,358,0.5438596606254578,1.0,0.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,377,0.0,1.0,1.0,57,59
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,421,0.43859654664993286,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,452,0.2982456088066101,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,516,0.3684210181236267,1.0,0.0,57,59
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,654,0.3684210181236267,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,658,0.3333333134651184,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,667,0.3684210777282715,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,688,0.3333333730697632,1.0,1.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,709,0.3684210181236267,1.0,0.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,795,0.3684210181236267,1.0,2.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,878,0.45614033937454224,1.0,1.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,979,0.3684210777282715,1.0,1.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,1009,0.45614033937454224,1.0,0.0,57,57
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,3,1093,0.3050847053527832,1.0,1.0,57,59
chemistry_control,300.0,"(55.0, 59.0]",comb,junction_enriched,27,163,0.24561405181884766,1.0,0.0,57,57
