match_type,glob_feat0,chain_len,row_i,row_j,overlap,topology_i,topology_j,ordering_i,ordering_j
chemistry_matched_structure_variation,300.0,40,268,363,0.949999988079071,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,268,481,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,268,493,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,268,502,0.949999988079071,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,268,809,0.949999988079071,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,278,511,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,278,520,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,278,579,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,278,591,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,278,766,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,278,931,0.949999988079071,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,278,1060,0.949999988079071,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,284,306,0.9750000238418579,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,284,687,0.949999988079071,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,290,363,0.949999988079071,cyclic,linear,random,random
chemistry_matched_structure_variation,300.0,40,290,493,1.0,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,290,502,0.949999988079071,cyclic,linear,random,block
chemistry_matched_structure_variation,300.0,40,290,809,0.949999988079071,cyclic,linear,random,random
chemistry_matched_structure_variation,300.0,40,295,344,0.949999988079071,star,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,295,607,0.949999988079071,star,star,alternating,block
chemistry_matched_structure_variation,300.0,40,295,712,0.949999988079071,star,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,295,757,0.9750000238418579,star,star,alternating,block
chemistry_matched_structure_variation,300.0,40,295,811,0.949999988079071,star,star,alternating,random
chemistry_matched_structure_variation,300.0,40,299,957,0.9750000238418579,star,star,alternating,block
chemistry_matched_structure_variation,300.0,40,320,818,0.9750000238418579,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,328,545,1.0,star,star,alternating,random
chemistry_matched_structure_variation,300.0,40,337,455,1.0,star,star,block,random
chemistry_matched_structure_variation,300.0,40,337,560,0.949999988079071,star,linear,block,alternating
chemistry_matched_structure_variation,300.0,40,339,404,0.949999988079071,star,star,block,random
chemistry_matched_structure_variation,300.0,40,344,376,0.949999988079071,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,344,442,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,344,458,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,344,574,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,344,670,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,344,712,1.0,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,344,757,0.949999988079071,linear,star,random,block
chemistry_matched_structure_variation,300.0,40,363,481,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,363,493,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,363,502,1.0,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,364,385,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,364,468,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,364,533,1.0,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,364,560,0.949999988079071,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,364,716,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,364,720,0.949999988079071,linear,cyclic,random,random
